School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Alabama,SEC,204,34,https://d9ioojyvhqpok.cloudfront.net/ipat9gfnm0mjkzxjgjduhgd3dhh5
Clemson,ACC,202,22,https://d9ioojyvhqpok.cloudfront.net/qdoiydn8n7rrbe24fh91o35g46a2
Penn State,Big Ten,176,28,https://d9ioojyvhqpok.cloudfront.net/r7ka9jaowmh2i9mbty8xvcw3lszi
Texas,SEC,171,26,https://d9ioojyvhqpok.cloudfront.net/qg9cbgbb8dt3ibmkhhpbnxnmu2ym
Oregon,Big Ten,165,20,https://d9ioojyvhqpok.cloudfront.net/jtm5dpazszqv0w6emkd6479rdrk8
Ohio State,Big Ten,157,30,https://d9ioojyvhqpok.cloudfront.net/t0cc17koiq4lypyf6v0bjmb48dl1
LSU,SEC,137,28,https://d9ioojyvhqpok.cloudfront.net/kotupd48marnkuttwxr1ueuusuq4
Georgia,SEC,133,30,https://d9ioojyvhqpok.cloudfront.net/lk6cx1kv1jp68409gl92aapm1amw
Florida,SEC,114,18,https://d9ioojyvhqpok.cloudfront.net/36khmjuee0xz2lxwa0xvcpewulbr
Texas A&M,SEC,110,30,https://d9ioojyvhqpok.cloudfront.net/2zs6v615in0lqkjlrpwr0ss7jal3
Auburn,SEC,108,12,https://d9ioojyvhqpok.cloudfront.net/eleiezsd0lvxbat70oyxvobqj1wy
Notre Dame,FBS - Independent,101,18,https://d9ioojyvhqpok.cloudfront.net/tbs37oz73f8lx0yton630db3mwil
Utah,Big 12,94,12,https://d9ioojyvhqpok.cloudfront.net/6knutc24htvta65sc5lynfbx3bag
South Carolina,SEC,91,14,https://d9ioojyvhqpok.cloudfront.net/xf3wi54n26qaha5aventrscyqj9i
Arizona State,Big 12,89,17,https://d9ioojyvhqpok.cloudfront.net/ki89e84ng0fbkdkof0pb7l8eavl7
Miami (FL),ACC,77,15,https://d9ioojyvhqpok.cloudfront.net/ua8vtcmx37g6fru3tna1nygak655
Indiana,Big Ten,75,9,https://d9ioojyvhqpok.cloudfront.net/wapph05yk3m4c6hzhc4793w94sxj
USC,Big Ten,70,14,https://d9ioojyvhqpok.cloudfront.net/9qzau6lr9d2g4rnpah5m4o5l5wrb
Oklahoma,SEC,66,19,https://d9ioojyvhqpok.cloudfront.net/2oxpf3x0lqqyaqu2vusmkrrfpvz4
Michigan,Big Ten,57,20,https://d9ioojyvhqpok.cloudfront.net/q8wl5dk6g7zupims4dtdrh3ssr12
Missouri,SEC,54,11,https://d9ioojyvhqpok.cloudfront.net/at4tedy432dma8a852zl29mhpl97
Iowa,Big Ten,54,10,https://d9ioojyvhqpok.cloudfront.net/1v4qash6kghlbzawlc9mcktcv6et
Illinois,Big Ten,49,16,https://d9ioojyvhqpok.cloudfront.net/ufjr2mjvb39qtuuxl324m16av9zg
Tennessee,SEC,49,14,https://d9ioojyvhqpok.cloudfront.net/xvzdtm1u94la26tuf9s7k9biiobk
