School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Tennessee,SEC,27,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Mississippi State,SEC,26,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi_st.svg
BYU,FBS - Independent,26,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/byu.svg
Florida,SEC,26,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Kansas,Big 12,25,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas.svg
Arkansas,SEC,24,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
Texas Tech,Big 12,23,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_tech.svg
West Virginia,Big 12,23,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_virginia.svg
South Dakota State,FCS,22,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_dakota_st.svg
Houston,FBS - AAC,22,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/houston.svg
UCF,FBS - AAC,21,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucf.svg
Wisconsin,Big Ten,21,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
Maryland,Big Ten,21,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
Pitt,ACC,21,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/pittsburgh.svg
UConn,FBS - AAC,21,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/uconn.svg
Iowa State,Big 12,21,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa_st.svg
Western Michigan,FBS - MAC,21,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/western_michigan.svg
Tulane,FBS - AAC,19,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tulane.svg
Colorado State,FBS - Mountain West,18,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado_st.svg
Rutgers,Big Ten,17,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rutgers.svg
Western Kentucky,FBS - CUSA,17,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/western_kentucky.svg
Ole Miss,SEC,16,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Boston College,ACC,16,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boston_college.svg
Troy,FBS - Sun Belt,15,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/troy.svg
Wake Forest,ACC,15,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wake_forest.svg
Virginia,ACC,13,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia.svg
Yale,FCS,11,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/yale.svg
Purdue,Big Ten,10,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg
Temple,FBS - AAC,9,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/temple.svg
UTEP,FBS - CUSA,8,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utep.svg
Marshall,FBS - CUSA,8,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/marshall.svg
Memphis,FBS - AAC,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/memphis.svg
Wyoming,FBS - Mountain West,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wyoming.svg
Baylor,Big 12,7,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/baylor.svg
Holy Cross,FCS,7,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/holy_cross.svg
Rice,FBS - CUSA,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rice.svg
Houston Baptist,FCS,7,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/houston_baptist.svg
Air Force,FBS - Mountain West,6,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/air_force.svg
New Hampshire,FCS,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/new_hampshire.svg
Northern Iowa,FCS,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/northern_iowa.svg
Nebraska,Big Ten,5,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nebraska.svg
UTSA,FBS - CUSA,5,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utsa.svg
Michigan State,Big Ten,5,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan_st.svg
Stanford,Pac 12,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg
South Dakota,FCS,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_dakota.svg
Southeast Missouri State,FCS,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/southeast_missouri_st.svg
Louisiana-Lafayette,FBS - Sun Belt,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisiana_lafayette.svg
Toronto,D3,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/toronto_argonauts.svg
Virginia State,D2,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_st.png
James Madison,FCS,4,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/james_madison.svg
SMU,FBS - AAC,4,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/smu.svg
Akron,FBS - MAC,4,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/akron.svg
Cincinnati,FBS - AAC,4,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
Fresno State,FBS - Mountain West,4,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/fresno_st.svg
Colorado,Pac 12,4,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
Vanderbilt,SEC,4,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/vanderbilt.svg
California,Pac 12,4,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/california.svg
Indiana,Big Ten,3,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/indiana.svg
Georgia Tech,ACC,3,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_tech.svg
Massachusetts,FBS - MAC,3,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/umass.svg
Syracuse,ACC,3,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/syracuse.svg
Florida Atlantic,FBS - CUSA,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_atlantic.svg
Southern Miss,FBS - CUSA,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/southern_miss.svg
Georgia State,FBS - Sun Belt,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_st.svg
Boise State,FBS - Mountain West,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/boise_st.svg
Charlotte,FBS - CUSA,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/charlotte.svg
Arizona State,Pac 12,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona_st.svg
South Alabama,FBS - Sun Belt,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_alabama.svg
British Columbia,D3,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/british_columbia.svg
South Florida,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_florida.svg
Virginia Tech,ACC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_tech.svg
Bowling Green,FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/bowling_green.svg
Western Carolina,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/western_carolina.svg
Ball State,FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ball_st.svg
Northwestern,Big Ten,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/northwestern.svg
Middle Tennessee State,FBS - CUSA,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/middle_tennessee_st.svg
Florida A&M,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_a&amp;m.svg
Georgia Southern,FBS - Sun Belt,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_southern.svg
Appalachian State,FBS - Sun Belt,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/appalachian_st.svg
Texas State,FBS - Sun Belt,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_st.svg
Jackson State,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/jackson_st.svg
Eastern Kentucky,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/eastern_kentucky.svg
Monmouth,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/monmouth.svg
Howard,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/howard.svg
North Dakota State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_dakota_st.svg
Grambling State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/grambling_st.svg
Liberty,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/liberty.svg
Cortland,D3,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cortland.svg
Texas A&M-Commerce,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_am_commerce.svg
Buffalo,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/buffalo.svg
Mercer,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mercer.svg
Campbell,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/campbell.svg
UAB,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/uab.svg
Furman,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/furman.svg
Southern Illinois,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/southern_illinois.svg
Idaho,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/idaho.svg
Alabama State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama_st.svg
UNLV,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/unlv.svg
Louisiana Tech,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/la_tech.svg
Eastern Michigan,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/eastern_michigan.svg
Rhode Island,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rhode_island.svg
Slippery Rock,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/slippery_rock.svg
Lackawanna,D3,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lackawanna.png
Utah State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah_st.svg
Tennessee State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee_st.svg
Oklahoma State,Big 12,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_st.svg
Samford,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/samford.svg
Morgan State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/morgan_st.svg
San Diego State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/san_diego_st.svg
Sacramento State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/sacramento_st.svg
Towson,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/towson.svg
Tulsa,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tulsa.svg
Youngstown State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/youngstown_st.svg
West Florida,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_florida.png
Nevada,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nevada.svg
Lamar,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lamar.svg
Illinois State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois_st.svg
Ferris State,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ferris_st.svg
Mount Union,D3,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mount_union.svg
St. John's,D3,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/saint_johns.png
Ohio,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio.svg
William & Mary,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/william&amp;mary.svg
Findlay,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/findlay.svg
Benedict College,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/benedict_college.png
Florida International,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_international.svg
Wisconsin-Platteville,D3,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin–platteville.png
Weber State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/weber_st.svg
North Carolina Central,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina_central.png
