School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Alabama,SEC,174,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Washington,Pac 12,167,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
Michigan,Big Ten,162,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Georgia,SEC,161,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Texas,Big 12,155,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
LSU,SEC,131,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Florida State,ACC,129,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Penn State,Big Ten,115,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Oregon,Pac 12,107,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Missouri,SEC,84,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Notre Dame,FBS - Independent,83,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Ohio State,Big Ten,81,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
USC,Pac 12,77,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Clemson,ACC,77,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
North Carolina,ACC,61,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
UCLA,Pac 12,53,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg
Illinois,Big Ten,53,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois.svg
Iowa,Big Ten,48,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Oregon State,Pac 12,45,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon_st.svg
Duke,ACC,44,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/duke.svg
Texas A&M,SEC,41,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Oklahoma,Big 12,40,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
South Carolina,SEC,39,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Kansas State,Big 12,38,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas_st.svg
Utah,Pac 12,37,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
Arizona,Pac 12,37,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Kentucky,SEC,36,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
Miami (FL),ACC,35,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Auburn,SEC,32,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/auburn.svg
Toledo,FBS - MAC,31,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/toledo.svg
Louisville,ACC,30,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisville.svg
TCU,Big 12,29,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
NC State,ACC,29,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nc_st.svg
Minnesota,Big Ten,28,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Washington State,Pac 12,28,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington_st.svg
