School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
Youngstown State,FCS,3,2,https://d9ioojyvhqpok.cloudfront.net/rk7ez7uyily7v63g01g6zqtgy7e8,,RandomSmallSchool,-7,0.93000000000000005,10,2.0699999999999998
Massachusetts,FBS - MAC,3,2,https://d9ioojyvhqpok.cloudfront.net/enpjhipf6zrlbpox3c368n4k7ugr,,RandomSmallSchool,-7,0.93000000000000005,10,2.0699999999999998
Troy,FBS - Sun Belt,3,2,https://d9ioojyvhqpok.cloudfront.net/ruiflpk24qu2y21m46ltngncpusm,,RandomSmallSchool,-7,0.93000000000000005,10,2.0699999999999998
Sacramento State,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/1d7nzf0sk6cd8sgcstgisghgthvu,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Jacksonville State,FBS - CUSA,2,2,https://d9ioojyvhqpok.cloudfront.net/e7p9srs34k8g21vjl6zet58xwnqg,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
BYU,Big 12,2,2,https://d9ioojyvhqpok.cloudfront.net/ckao4l33k79nnp9b84uvigzihrgs,,Big 12,-50.329999999999998,-9.5,52.329999999999998,11.5
Memphis,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/zapbfiasf58lmrmdciirdnudnb8e,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
UAB,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/358rqeeze9m7p9m4bmnrwml1w5ml,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
South Florida,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/9nu9lpb74q8f59qi77398wm14asl,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
UTSA,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/ayy2o4qfgx3no4r54obep8ah3yvg,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Appalachian State,FBS - Sun Belt,2,2,https://d9ioojyvhqpok.cloudfront.net/3lp6eio7dartb77wqwr0xl2lpzch,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Oregon State,Pac 12,2,2,https://d9ioojyvhqpok.cloudfront.net/ueh09xe6mxltdzhv3wsyz5o3al67,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Louisiana-Lafayette,FBS - Sun Belt,2,2,https://d9ioojyvhqpok.cloudfront.net/hmda77r618rropcqdewolreubcgy,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Coastal Carolina,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/q28b5wqgm9onpd38fyk9ji9idh6o,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Syracuse,ACC,2,2,https://d9ioojyvhqpok.cloudfront.net/gxu8tigguesk475f4vlaryv7z5kr,,ACC,-68.5,-13.539999999999999,70.5,15.539999999999999
Florida International,FBS - CUSA,2,2,https://d9ioojyvhqpok.cloudfront.net/8fqmtiyqj379vsr6f5ydwddhqd57,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Miami (OH),FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/ygn6xy9b08f21smi3h08xv63d310,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Bowling Green,FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/khecbhkwna27ftfkqu57arc897zj,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
North Dakota,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/7we66inumbdffyzpr98g8bbet7p3,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Harvard,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/88rmmrypn77edwni0fqdzvh0k3np,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Lafayette,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/l8chdyeugemmljnurqcdtooir3ft,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Sam Houston State,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/griwt4t7qd18gfqw83vljfjsp3g9,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Northern Illinois,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/i2l5ye5l6hfr8us7xn0wmo3g43dj,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
South Dakota State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/j1h4ym5rvem469nmw166um7w8yyd,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
William & Mary,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/cvw607y4kd4abt1omhz4rfw3pqtt,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
San Diego State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/8lk0itjyx8g1jxftz0jchjoh45ro,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Abilene Christian,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/h56roel3p7yjm390npx8lbrlq0fk,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Virginia State,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/wm2lvh7f72qagwvyazia4070pm71,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Buffalo,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/i8kbv9ioldxrcyoirtm9nfzr6e5n,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Arkansas State,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/0y0q70b747itik24akazpunl090f,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
McNeese State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/cs0519lwtta2crm3dm4sp0ojta31,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Western Michigan,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/6smyc88ec4btmrfzo76q6s2l3922,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Portland State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/1zssqxdzgmkfdoyzo6cvywxsndp0,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Tulsa,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/wgzu6axcvmbdijfdtvgsntkc4ylf,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Nevada,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/59h4ronidnmgqjbo1alvonc7wjmv,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Georgia Southern,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/z7ccax7spksvxiv6giffmqhao46a,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
San Jose State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/ro1xx56e4z8uwuoba0lxm44zanow,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Fresno State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/oh0a26wlyg1v3e0c3819jlyxnecp,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Tarleton State,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/t9rfbxz4rr0psvshmqya26gz2w3j,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Cal Poly,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/fmuftfu5qfjqres1wr2dy5ii7wf9,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Utah State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/qe590cpbtrq66in7ro62wa3ossas,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Florida Atlantic,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/e9smljtyny48n1ccwc5zdjruxo4l,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Old Dominion,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/1s9b5cfewfr4a3dkyu0cttf7ln1v,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Washington State,Pac 12,1,1,https://d9ioojyvhqpok.cloudfront.net/zosp0uamsigsfed57lz5eejqmxtn,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Florida A&M,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/c25jnf7optvztomz5p0n79uu6x9t,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Air Force,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/p6wau30d9gwh6hgun9zh6dqb6i3y,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Stephen F. Austin,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/ygg24coxnmjx6wnjdsdfqy93oupp,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
East Tennessee State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/t9ivu93hmr1fljhj12unw9r7f2bs,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
