OriginalConference,ConferencePosition
ACC,ACC
Big 12,Big 12
D2,RandomSmallSchool
FBS - AAC,RandomSmallSchool
FBS - CUSA,RandomSmallSchool
FBS - Independent,RandomSmallSchool
FBS - MAC,RandomSmallSchool
FBS - Mountain West,RandomSmallSchool
FBS - Sun Belt,RandomSmallSchool
FCS,RandomSmallSchool
Pac 12,Pac 12
SEC,SEC
Big Ten,Big Ten
