School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
North Dakota State,FCS,25,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_dakota_st.svg,,RandomSmallSchool,-3.1899999999999999,21.690000000000001,28.199999999999999,3.3100000000000001
Nebraska,Big Ten,24,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nebraska.svg,,Big Ten,-56.090000000000003,13.130000000000001,80.090000000000003,10.869999999999999
Kansas State,Big 12,24,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas_st.svg,,Big 12,-26.199999999999999,8.6400000000000006,50.200000000000003,15.359999999999999
Clemson,ACC,24,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg,,ACC,-28.600000000000001,7.25,52.600000000000001,16.75
Toledo,FBS - MAC,24,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/toledo.svg,,RandomSmallSchool,-4.1900000000000004,20.690000000000001,28.199999999999999,3.3100000000000001
Rutgers,Big Ten,23,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rutgers.svg,,Big Ten,-57.090000000000003,12.130000000000001,80.090000000000003,10.869999999999999
UCF,Big 12,22,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucf.svg,,Big 12,-28.199999999999999,6.6399999999999997,50.200000000000003,15.359999999999999
West Virginia,Big 12,22,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/west_virginia.svg,,Big 12,-28.199999999999999,6.6399999999999997,50.200000000000003,15.359999999999999
Oklahoma State,Big 12,22,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_st.svg,,Big 12,-28.199999999999999,6.6399999999999997,50.200000000000003,15.359999999999999
Stanford,ACC,22,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stanford.svg,,ACC,-30.600000000000001,5.25,52.600000000000001,16.75
Oklahoma,SEC,21,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg,,SEC,-83.900000000000006,1.5,104.90000000000001,19.5
California,ACC,21,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/california.svg,,ACC,-31.600000000000001,4.25,52.600000000000001,16.75
Indiana,Big Ten,20,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/indiana.svg,,Big Ten,-60.090000000000003,9.1300000000000008,80.090000000000003,10.869999999999999
Texas Tech,Big 12,20,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_tech.svg,,Big 12,-30.199999999999999,4.6399999999999997,50.200000000000003,15.359999999999999
East Carolina,FBS - AAC,20,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/east_carolina.svg,,RandomSmallSchool,-8.1899999999999995,16.690000000000001,28.199999999999999,3.3100000000000001
Auburn,SEC,19,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/auburn.svg,,SEC,-85.900000000000006,-0.5,104.90000000000001,19.5
Arizona State,Big 12,18,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona_st.svg,,Big 12,-32.200000000000003,2.6400000000000001,50.200000000000003,15.359999999999999
USC,Big Ten,17,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg,,Big Ten,-63.090000000000003,6.1299999999999999,80.090000000000003,10.869999999999999
Purdue,Big Ten,17,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/purdue.svg,,Big Ten,-63.090000000000003,6.1299999999999999,80.090000000000003,10.869999999999999
NC State,ACC,16,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nc_st.svg,,ACC,-36.600000000000001,-0.75,52.600000000000001,16.75
SMU,ACC,15,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/smu.svg,,ACC,-37.600000000000001,-1.75,52.600000000000001,16.75
Utah,Big 12,13,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg,,Big 12,-37.200000000000003,-2.3500000000000001,50.200000000000003,15.359999999999999
Virginia,ACC,13,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia.svg,,ACC,-39.600000000000001,-3.75,52.600000000000001,16.75
Georgia Tech,ACC,13,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_tech.svg,,ACC,-39.600000000000001,-3.75,52.600000000000001,16.75
Wisconsin,Big Ten,13,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg,,Big Ten,-67.090000000000003,2.1299999999999999,80.090000000000003,10.869999999999999
