School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
Alabama,SEC,174,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg,,SEC,98.909999999999997,156.5,75.090000000000003,17.5
Washington,Pac 12,167,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg,,Pac 12,77.200000000000003,150.28999999999999,89.799999999999997,16.710000000000001
Michigan,Big Ten,162,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg,,Big Ten,106.40000000000001,158.25,55.600000000000001,3.75
Georgia,SEC,161,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg,,SEC,85.909999999999997,143.5,75.090000000000003,17.5
Texas,Big 12,155,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg,,Big 12,97.599999999999994,140,57.399999999999999,15
LSU,SEC,131,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg,,SEC,55.909999999999997,113.5,75.090000000000003,17.5
Florida State,ACC,129,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg,,ACC,59.799999999999997,114.34,69.200000000000003,14.66
Penn State,Big Ten,115,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg,,Big Ten,59.399999999999999,111.25,55.600000000000001,3.75
Oregon,Pac 12,107,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg,,Pac 12,17.199999999999999,90.290000000000006,89.799999999999997,16.710000000000001
Missouri,SEC,84,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg,,SEC,8.9000000000000004,66.5,75.090000000000003,17.5
Notre Dame,FBS - Independent,83,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg,,Flex,0,0,83,83
Ohio State,Big Ten,81,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg,,Big Ten,25.399999999999999,77.25,55.600000000000001,3.75
USC,Pac 12,77,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg,,Pac 12,-12.789999999999999,60.289999999999999,89.799999999999997,16.710000000000001
Clemson,ACC,77,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg,,ACC,7.79,62.340000000000003,69.200000000000003,14.66
North Carolina,ACC,61,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg,,ACC,-8.1999999999999993,46.340000000000003,69.200000000000003,14.66
UCLA,Pac 12,53,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg,,Pac 12,-36.789999999999999,36.289999999999999,89.799999999999997,16.710000000000001
Illinois,Big Ten,53,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois.svg,,Big Ten,-2.6000000000000001,49.25,55.600000000000001,3.75
Iowa,Big Ten,48,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg,,Big Ten,-7.5999999999999996,44.25,55.600000000000001,3.75
Oregon State,Pac 12,45,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon_st.svg,,Pac 12,-44.799999999999997,28.289999999999999,89.799999999999997,16.710000000000001
Duke,ACC,44,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/duke.svg,,ACC,-25.199999999999999,29.34,69.200000000000003,14.66
